,0
5d_spread_change,0.19182369762240528
10d_spread_change,0.0
15d_spread_change,0.0
20d_spread_change,0.0
10d_act_price_exp_mva,0.0
-1d_corr_act_price_def_OI,0.0
-1d_corr_def_price_def_OI,0.0
10d_spread_std_divided_by_std,0.3036132977542667
10d_current_price,0.0
1d_z_diff_act_price_def_price,0.6185576752596319
-1d_corr_act_price_def_volume,0.0
-1d_corr_def_price_def_volume,0.0
10d_current_spread,0.0
-1d_std,0.0
-1d_corr_act_price_def_price,0.5656886959423892
-1d_corr_act_OI_def_volume,0.0
-1d_corr_act_OI_def_OI,0.0
-1d_corr_def_volume_def_OI,0.0
-1d_corr_def_OI_spread,0.9075638824190649
-1d_corr_def_volume_spread,0.0
1d_z_diff_act_price_def_OI,0.7548996065216154
-1d_corr_act_volume_def_volume,0.22946530291488285
-1d_corr_act_volume_def_OI,0.0
-1d_corr_act_price_act_OI,0.42277215544420604
1d_z_diff_act_volume_act_OI,0.1196585179313059
10d_def_volume_exp_mva,0.8362508516100966
-1d_corr_act_OI_spread,0.07868865614706565
-1d_corr_def_price_spread,0.24378453270445963
